
﻿keywords,answer_en,answer_hi,answer_ta
"fruit,vegetable,difference,types","🍎 Fruits usually develop from flowers and contain seeds, while 🥦 vegetables are edible parts of plants such as roots, stems, or leaves.","🍎 फल फूलों से विकसित होते हैं और उनमें बीज होते हैं, जबकि 🥦 सब्जियाँ पौधों के खाने योग्य भाग होती हैं जैसे जड़ें, तना या पत्ते।","🍎 பழங்கள் மலர்களிலிருந்து உருவாகி விதைகளை கொண்டிருக்கும், ஆனால் 🥦 காய்கறிகள் தாவரத்தின் உணவாக உகந்த வேர்கள், தண்டு அல்லது இலைகள் ஆகும்."
"tomato,is tomato fruit or vegetable",🍅 Tomato is technically a fruit (it develops from a flower and has seeds) but commonly used as a vegetable in cooking.,🍅 टमाटर तकनीकी रूप से फल है (यह फूल से विकसित होता है और बीज होते हैं) लेकिन आमतौर पर सब्ज़ी की तरह इस्तेमाल किया जाता है।,"🍅 தக்காளி தொழில்நுட்ப ரீதியாக ஒரு பழம் (மலரிலிருந்து உருவாகி விதைகள் கொண்டது), ஆனால் சமையலில் காய்கறியாகப் பயன்படுத்தப்படுகிறது."
"banana,banana plant,banana tree","🍌 Banana is a fruit rich in potassium. The banana plant is technically a herb, not a tree!","🍌 केला पोटैशियम से भरपूर फल है। केले का पौधा वास्तव में एक जड़ी-बूटी है, पेड़ नहीं!","🍌 வாழைப்பழம் பொட்டாசியம் நிறைந்த பழம். வாழைத் தாவரம் தொழில்நுட்ப ரீதியாக ஒரு மூலிகை, மரம் அல்ல!"
"mango,mango season,king of fruits","🥭 Mango is called the King of Fruits! It’s a tropical fruit rich in Vitamin A and C, mostly available in summer.","🥭 आम को फलों का राजा कहा जाता है! यह विटामिन A और C से भरपूर उष्णकटिबंधीय फल है, जो मुख्यतः गर्मियों में मिलता है।","🥭 மாம்பழம் 'பழங்களின் ராஜா' என அழைக்கப்படுகிறது! இது வைட்டமின் A மற்றும் C நிறைந்த வெப்பமண்டலப் பழம், பெரும்பாலும் கோடையில் கிடைக்கும்."
"carrot,benefits of carrot,vitamin a",🥕 Carrot is rich in Vitamin A and good for eyesight. It grows underground and prefers cool weather.,🥕 गाजर विटामिन A से भरपूर होती है और आंखों के लिए फायदेमंद है। यह ज़मीन के अंदर उगती है और ठंडे मौसम में अच्छी होती है।,🥕 கேரட் வைட்டமின் A நிறைந்தது மற்றும் பார்வைக்கு நல்லது. இது நிலத்தடியில் வளர்கிறது மற்றும் குளிர்ந்த காலநிலையை விரும்புகிறது.
"potato,tuber crop,potato plant",🥔 Potato is a tuber crop that grows underground. It’s a major source of carbohydrates and energy.,🥔 आलू एक कंद फसल है जो ज़मीन के अंदर उगती है। यह कार्बोहाइड्रेट और ऊर्जा का प्रमुख स्रोत है।,🥔 உருளைக்கிழங்கு நிலத்தடியில் வளரும் கிழங்கு பயிர். இது கார்போஹைட்ரேட்டும் ஆற்றலின் முக்கிய மூலமும் ஆகும்.
"onion,garlic,allium",🧅 Onion and 🧄 garlic belong to the Allium family. They are used to add flavor and have antibacterial properties.,🧅 प्याज़ और 🧄 लहसुन एलियम परिवार से हैं। ये स्वाद बढ़ाने और जीवाणुरोधी गुणों के लिए उपयोग किए जाते हैं।,"🧅 வெங்காயமும் 🧄 பூண்டு இரண்டும் அலியம் குடும்பத்தைச் சேர்ந்தவை. அவை சுவையை கூட்டவும், கிருமி எதிர்ப்பு பண்புகளும் கொண்டவை."
"spinach,leafy vegetables,greens","🥬 Spinach and other leafy vegetables are rich in iron, calcium, and vitamins — good for health and immunity.","🥬 पालक और अन्य हरी सब्जियाँ लौह, कैल्शियम और विटामिन से भरपूर होती हैं — सेहत और रोग प्रतिरोधक क्षमता के लिए फायदेमंद।","🥬 கீரைகள் இரும்பு, கால்சியம் மற்றும் வைட்டமின்கள் நிறைந்தவை — ஆரோக்கியத்திற்கும் நோய் எதிர்ப்பு சக்திக்குமான சிறந்தவை."
"brinjal,eggplant,baingan",🍆 Brinjal (Eggplant) is a versatile vegetable used in many Indian dishes. It grows well in warm climates.,🍆 बैंगन एक बहुउपयोगी सब्ज़ी है जो भारतीय व्यंजनों में खूब इस्तेमाल होती है। यह गर्म जलवायु में अच्छी तरह उगती है।,🍆 கத்தரிக்காய் பலவகை உணவுகளில் பயன்படுத்தப்படும் காய்கறி. இது சூடான காலநிலைகளில் நன்றாக வளர்கிறது.
"cucumber,summer vegetable,hydration",🥒 Cucumber is a refreshing summer vegetable with high water content. Keeps the body cool and hydrated.,🥒 खीरा एक ताज़ा गर्मियों की सब्ज़ी है जिसमें पानी की मात्रा अधिक होती है। यह शरीर को ठंडा और हाइड्रेटेड रखता है।,🥒 வெள்ளரிக்காய் நீர் சத்து நிறைந்த கோடைக்கால காய்கறி. இது உடலை குளிர்ச்சியாகவும் ஈரப்பதமாகவும் வைத்திருக்கிறது.
"apple,apple benefits,vitamin c",🍎 Apple is rich in fiber and Vitamin C. 'An apple a day keeps the doctor away!',🍎 सेब रेशा और विटामिन C से भरपूर होता है। 'रोज़ एक सेब डॉक्टर को दूर रखता है!',🍎 ஆப்பிள் நார்ச்சத்து மற்றும் வைட்டமின் C நிறைந்தது. 'ஒவ்வொரு நாளும் ஒரு ஆப்பிள் வைத்தியரை விலக்கி வைக்கும்!'
"grapes,vitamin,fruit",🍇 Grapes are rich in antioxidants and Vitamin K — good for heart health.,🍇 अंगूर एंटीऑक्सिडेंट्स और विटामिन K से भरपूर होते हैं — हृदय स्वास्थ्य के लिए लाभदायक।,🍇 திராட்சை ஆன்டிஆக்ஸிடன்ட்கள் மற்றும் வைட்டமின் K நிறைந்தவை — இதய ஆரோக்கியத்திற்கு நல்லது.
"orange,vitamin c,citrus fruit",🍊 Orange is a citrus fruit rich in Vitamin C — boosts immunity and keeps skin healthy.,🍊 संतरा एक खट्टा फल है जो विटामिन C से भरपूर है — यह रोग प्रतिरोधक क्षमता बढ़ाता है और त्वचा को स्वस्थ रखता है।,🍊 ஆரஞ்சு வைட்டமின் C நிறைந்த சிட்ரஸ் பழம் — இது நோய் எதிர்ப்பு சக்தியை அதிகரித்து தோல் ஆரோக்கியத்தை பேணுகிறது.
"pomegranate,anaar,fruit",🍎 Pomegranate is rich in iron and antioxidants — good for blood and heart.,🍎 अनार लौह और एंटीऑक्सिडेंट से भरपूर होता है — यह रक्त और हृदय के लिए लाभदायक है।,🍎 மாதுளை இரும்பு மற்றும் ஆன்டிஆக்ஸிடன்ட்கள் நிறைந்தது — இது இரத்தத்திற்கும் இதயத்திற்கும் நல்லது.
"watermelon,summer fruit,hydration",🍉 Watermelon is a juicy summer fruit that keeps you cool and hydrated.,🍉 तरबूज एक रसीला गर्मियों का फल है जो आपको ठंडा और हाइड्रेटेड रखता है।,🍉 தர்பூசணி நீர்ச்சத்து நிறைந்த கோடைக்காலப் பழம். இது உடலை குளிர்ச்சியாகவும் ஈரப்பதமாகவும் வைத்திருக்கிறது.
"papaya,digestion,vitamin c",🥭 Papaya aids digestion and is rich in Vitamin C and antioxidants.,🥭 पपीता पाचन में मदद करता है और विटामिन C व एंटीऑक्सिडेंट्स से भरपूर होता है।,🥭 பப்பாளி செரிமானத்திற்கு உதவுகிறது மற்றும் வைட்டமின் C மற்றும் ஆன்டிஆக்ஸிடன்ட்கள் நிறைந்தது.
"pumpkin,vegetable,vitamin a",🎃 Pumpkin is rich in Vitamin A and fiber — good for eyesight and digestion.,🎃 कद्दू विटामिन A और रेशा से भरपूर है — आंखों और पाचन के लिए अच्छा है।,🎃 பரங்கிக்காய் வைட்டமின் A மற்றும் நார்ச்சத்து நிறைந்தது — பார்வைக்கும் செரிமானத்திற்கும் நல்லது.
"beans,protein,legume","🫘 Beans are a good source of plant protein, iron, and fiber — support muscle growth.","🫘 फलियाँ पौधे आधारित प्रोटीन, लौह और रेशा का अच्छा स्रोत हैं — मांसपेशियों की वृद्धि में सहायक।","🫘 பீன்ஸ் தாவர அடிப்படையிலான புரதம், இரும்பு மற்றும் நார்ச்சத்து நிறைந்தவை — தசை வளர்ச்சிக்குச் சிறந்தவை."
"chilli,spice,vegetable","🌶️ Chilli adds spice to food and contains Vitamin C and capsaicin, which boosts metabolism.",🌶️ मिर्च भोजन में मसाला जोड़ती है और इसमें विटामिन C व कैप्साइसिन होता है जो मेटाबॉलिज़्म बढ़ाता है।,"🌶️ மிளகாய் உணவுக்கு காரத்தைக் கொடுக்கும் மற்றும் வைட்டமின் C, கேப்சைசின் நிறைந்தது — இது உடல் மாற்றச் சுரப்பை மேம்படுத்துகிறது."
"cauliflower,broccoli,cruciferous",🥦 Cauliflower and broccoli are cruciferous vegetables rich in fiber and antioxidants — support digestion and health.,🥦 फूलगोभी और ब्रोकोली फाइबर और एंटीऑक्सिडेंट से भरपूर होती हैं — पाचन और स्वास्थ्य के लिए अच्छी हैं।,🥦 காலிஃபிளவர் மற்றும் ப்ரோக்கோலி நார்ச்சத்து மற்றும் ஆன்டிஆக்ஸிடன்ட்கள் நிறைந்தவை — செரிமானத்திற்கும் ஆரோக்கியத்திற்கும் நல்லவை.
